,0
514,3
515,2
516,9
517,2
518,7
519,8
520,1
521,9
522,1
523,2
524,2
525,2
526,4
527,7
528,6
529,9
530,1
531,5
532,8
533,4
534,3
535,5
536,2
537,6
538,1
539,7
540,3
541,3
542,6
543,8
544,9
545,5
546,7
547,2
548,5
549,8
550,6
551,8
552,9
553,4
554,1
555,3
556,2
557,2
558,8
559,4
560,6
561,1
562,4
563,2
564,8
565,9
566,2
567,6
568,8
569,3
570,9
571,9
572,6
573,2
574,5
575,5
576,3
577,7
578,8
579,3
580,2
581,6
582,3
583,7
584,2
585,8
586,8
587,7
588,4
589,4
590,1
591,2
592,8
593,4
594,5
595,4
596,1
597,1
598,8
599,8
600,2
601,4
602,6
603,8
604,8
605,5
606,6
607,3
608,1
609,8
610,5
611,8
612,4
613,3
614,1
615,9
616,1
617,3
618,4
619,6
620,9
621,7
622,2
623,9
624,4
625,9
626,5
627,8
628,9
629,2
630,1
631,3
632,9
633,4
634,4
635,8
636,5
637,2
638,7
639,4
640,3
641,3
642,2
643,5
644,4
645,7
646,3
647,3
648,5
649,1
650,4
651,7
652,6
653,2
654,2
655,6
656,4
657,5
658,7
659,5
660,4
661,6
662,9
663,9
664,2
665,8
666,4
667,8
668,2
669,9
670,7
671,1
672,1
673,3
674,6
675,6
676,8
677,9
678,1
679,2
680,1
681,4
682,7
683,1
684,9
685,6
686,9
687,7
688,2
689,5
690,2
691,4
692,5
693,6
694,8
695,2
696,7
697,2
698,2
699,2
700,1
701,9
702,5
703,2
704,9
705,5
706,9
707,8
708,6
709,7
710,3
711,5
712,1
713,5
714,5
715,2
716,3
717,9
718,5
719,7
720,8
721,2
722,9
723,8
724,6
725,1
726,6
727,7
728,4
729,5
730,8
731,9
732,9
733,1
734,3
735,1
736,6
737,1
738,5
739,7
740,1
741,8
742,9
743,4
744,6
745,2
746,1
747,9
748,2
749,1
750,5
751,4
752,6
753,9
754,6
755,1
756,5
757,4
758,1
759,6
760,6
761,9
762,7
763,2
764,7
765,5
766,8
767,8
768,7
769,2
770,3
771,5
772,3
773,2
774,3
775,6
776,4
777,5
778,2
779,5
780,2
781,4
782,8
783,3
784,7
785,7
786,7
787,8
788,4
789,8
790,5
791,9
792,3
793,8
794,1
795,3
796,5
797,2
798,6
799,2
800,7
801,1
802,2
803,5
804,7
805,2
806,8
807,5
808,2
809,9
810,1
811,3
812,6
813,6
814,6
815,4
816,3
817,6
818,8
819,1
820,5
821,4
822,6
823,6
824,9
825,7
826,6
827,4
828,4
829,6
830,4
831,1
832,4
833,5
834,1
835,9
836,2
837,4
838,3
839,9
840,7
841,1
842,8
843,3
844,5
845,2
846,9
847,6
848,1
849,8
850,4
851,1
852,9
853,8
854,7
855,2
856,8
857,1
858,8
859,4
860,4
861,5
862,3
863,6
864,7
865,6
866,1
867,8
868,3
869,9
870,4
871,3
872,7
873,5
874,6
875,2
876,6
877,8
878,5
879,9
880,2
881,4
882,4
883,2
884,9
885,6
886,3
887,5
888,2
889,2
890,7
891,8
892,7
893,8
894,3
895,5
896,3
897,8
898,8
899,9
900,8
901,9
902,4
903,1
904,8
905,6
906,2
907,3
908,2
909,9
910,3
911,5
912,3
913,6
914,9
915,6
916,7
917,6
918,2
919,1
920,4
921,7
922,6
923,4
924,4
925,3
926,7
927,4
928,1
929,7
930,7
931,7
932,5
933,2
934,4
935,8
936,4
937,5
938,7
939,3
940,4
941,4
942,4
943,1
944,7
945,1
946,3
947,1
948,3
949,5
950,7
951,4
952,8
953,4
954,3
955,1
956,8
957,9
958,6
959,1
960,5
961,1
962,8
963,5
964,4
965,9
966,4
967,6
968,7
969,5
970,8
971,9
972,8
973,2
974,2
975,4
976,2
977,1
978,9
979,9
980,4
981,4
982,5
983,6
984,2
985,5
986,6
987,2
988,9
989,1
990,9
991,2
992,5
993,2
994,5
995,8
996,8
997,1
998,1
999,9
1000,2
1001,4
1002,9
1003,8
1004,5
1005,2
1006,7
1007,1
1008,6
1009,9
1010,9
1011,1
1012,2
1013,7
1014,7
1015,3
1016,3
1017,2
1018,7
1019,5
1020,5
1021,2
1022,1
1023,7
1024,7
1025,6
1026,2
1027,6
1028,4
1029,7
1030,3
1031,6
1032,1
1033,9
1034,3
1035,2
1036,4
1037,3
1038,4
1039,7
1040,4
1041,3
1042,7
1043,3
1044,7
1045,9
1046,7
1047,1
1048,4
1049,8
1050,9
1051,2
1052,4
1053,5
1054,8
1055,1
1056,9
1057,2
1058,6
1059,9
1060,5
1061,8
1062,2
1063,3
1064,8
1065,8
1066,1
1067,1
1068,5
1069,7
1070,5
1071,6
1072,4
1073,1
1074,8
1075,2
1076,5
1077,4
1078,5
1079,4
1080,5
1081,5
1082,9
1083,1
1084,1
1085,2
1086,1
1087,8
1088,7
1089,8
1090,1
1091,2
1092,3
1093,5
1094,2
1095,2
1096,5
1097,9
1098,2
1099,9
1100,4
1101,2
1102,6
1103,1
1104,5
1105,8
1106,7
1107,5
1108,1
1109,9
1110,9
1111,6
1112,4
1113,3
1114,5
1115,4
1116,4
1117,6
1118,4
1119,4
1120,1
1121,8
1122,7
1123,6
1124,1
1125,6
1126,4
1127,2
1128,4
1129,1
1130,9
1131,8
1132,7
1133,6
1134,9
1135,5
1136,1
1137,6
1138,6
1139,5
1140,2
1141,2
1142,5
1143,3
1144,9
1145,6
1146,4
1147,5
1148,1
1149,3
1150,2
1151,3
1152,4
1153,7
1154,9
1155,1
1156,6
1157,9
1158,1
1159,9
1160,8
1161,5
1162,7
1163,1
1164,5
1165,3
1166,9
1167,6
1168,3
1169,6
1170,5
1171,1
1172,1
1173,6
1174,9
1175,7
1176,9
1177,6
1178,7
1179,7
1180,6
1181,2
1182,6
1183,6
1184,1
1185,4
1186,8
1187,7
1188,1
1189,2
1190,2
1191,7
1192,7
1193,1
1194,2
1195,4
1196,6
1197,6
1198,8
1199,5
1200,3
1201,3
1202,3
1203,6
1204,9
1205,5
1206,9
1207,4
1208,3
1209,1
1210,1
1211,1
1212,6
1213,3
1214,8
1215,6
1216,2
1217,7
1218,4
1219,4
1220,2
1221,3
1222,5
1223,5
1224,6
1225,3
1226,5
1227,6
1228,2
1229,3
1230,1
1231,7
1232,4
1233,8
1234,3
1235,5
1236,5
1237,6
1238,2
1239,3
1240,2
1241,5
1242,1
1243,1
1244,5
1245,1
1246,4
1247,3
1248,3
1249,7
1250,1
1251,9
1252,6
1253,9
1254,2
1255,5
1256,5
1257,5
1258,5
1259,3
1260,9
1261,5
1262,7
1263,9
1264,9
1265,4
1266,8
1267,9
1268,3
1269,6
1270,4
1271,1
1272,1
1273,6
1274,9
1275,7
1276,6
1277,2
1278,8
1279,1
1280,9
1281,3
1282,4
1283,9
1284,6
1285,2
1286,1
1287,3
1288,7
1289,2
1290,8
1291,4
1292,1
1293,6
1294,6
1295,5
1296,8
1297,5
1298,7
1299,1
1300,3
1301,9
1302,8
1303,7
1304,2
1305,9
1306,4
1307,3
1308,3
1309,2
1310,1
1311,7
1312,8
1313,8
1314,5
1315,8
1316,5
1317,7
1318,2
1319,7
1320,6
1321,9
1322,5
1323,2
1324,9
1325,5
1326,9
1327,4
1328,8
1329,1
1330,4
1331,1
1332,8
1333,8
1334,6
1335,7
1336,6
1337,8
1338,7
1339,4
1340,5
1341,6
1342,6
1343,9
1344,4
1345,1
1346,9
1347,4
1348,3
1349,6
1350,7
1351,7
1352,5
1353,2
1354,3
1355,8
1356,7
1357,4
1358,3
1359,4
1360,2
1361,2
1362,5
1363,6
1364,6
1365,2
1366,4
1367,3
1368,8
1369,7
1370,9
1371,9
1372,9
1373,2
1374,5
1375,4
1376,2
1377,4
1378,9
1379,8
1380,6
1381,8
1382,4
1383,6
1384,9
1385,5
1386,1
1387,5
1388,5
1389,4
1390,9
1391,2
1392,2
1393,6
1394,3
1395,2
1396,3
1397,1
1398,8
1399,3
1400,8
1401,1
1402,9
1403,1
1404,5
1405,7
1406,7
1407,4
1408,5
1409,2
1410,2
1411,5
1412,8
1413,1
1414,4
1415,3
1416,6
1417,7
1418,9
1419,5
1420,4
1421,1
1422,3
1423,9
1424,1
1425,1
1426,1
1427,8
1428,8
1429,7
1430,3
1431,6
1432,4
1433,7
1434,4
1435,7
1436,6
1437,4
1438,7
1439,2
1440,5
1441,1
1442,2
1443,2
1444,5
1445,7
1446,2
1447,1
1448,3
1449,5
1450,6
1451,2
1452,4
1453,7
1454,6
1455,7
1456,1
1457,4
1458,8
1459,9
1460,8
1461,6
1462,9
1463,9
1464,3
1465,4
1466,3
1467,8
1468,1
1469,6
1470,7
1471,6
1472,6
1473,2
1474,4
1475,4
1476,7
1477,3
1478,8
1479,8
1480,9
1481,1
1482,6
1483,9
1484,1
1485,8
1486,2
1487,1
1488,6
1489,4
1490,2
1491,7
1492,8
1493,7
1494,4
1495,6
1496,4
1497,6
1498,5
1499,7
1500,4
1501,2
1502,4
1503,1
1504,3
1505,5
1506,6
1507,9
1508,9
1509,7
1510,6
1511,8
1512,2
1513,5
1514,6
1515,4
1516,9
1517,3
1518,2
1519,7
1520,2
1521,5
1522,2
1523,2
1524,6
1525,7
1526,9
1527,4
1528,3
1529,3
1530,6
1531,7
1532,2
1533,1
1534,6
1535,7
1536,6
1537,3
1538,5
1539,8
1540,9
1541,1
1542,9
1543,8
1544,4
1545,8
1546,6
1547,9
1548,6
1549,3
1550,5
1551,3
1552,3
1553,6
1554,8
1555,6
1556,4
1557,4
1558,1
1559,8
1560,6
1561,6
1562,7
1563,1
1564,7
1565,9
1566,7
1567,8
1568,5
1569,6
1570,4
1571,2
1572,3
1573,3
1574,6
1575,6
1576,8
1577,8
1578,8
1579,7
1580,5
1581,9
1582,1
1583,4
1584,3
1585,4
1586,2
1587,8
1588,8
1589,5
1590,6
1591,7
1592,4
1593,7
1594,6
1595,2
1596,8
1597,2
1598,7
1599,7
1600,5
1601,7
1602,4
1603,1
1604,8
1605,6
1606,1
1607,6
1608,7
1609,6
1610,4
1611,4
1612,8
1613,6
1614,8
1615,1
1616,8
1617,1
1618,3
1619,4
1620,5
1621,6
1622,6
1623,8
1624,5
1625,2
1626,2
1627,6
1628,9
1629,9
1630,6
1631,5
1632,8
1633,2
1634,1
1635,3
1636,7
1637,5
1638,8
1639,4
1640,6
1641,6
1642,3
1643,3
1644,4
1645,2
1646,5
1647,6
1648,7
1649,3
1650,4
1651,1
1652,5
1653,4
1654,9
1655,8
1656,4
1657,7
1658,5
1659,5
1660,9
1661,7
1662,7
1663,7
1664,9
1665,3
1666,4
1667,5
1668,5
1669,2
1670,5
1671,1
1672,7
1673,7
1674,8
1675,6
1676,7
1677,1
1678,4
1679,5
1680,1
1681,3
1682,6
1683,9
1684,6
1685,6
1686,5
1687,8
1688,1
1689,7
1690,5
1691,8
1692,2
1693,9
1694,8
1695,3
1696,3
1697,7
1698,1
1699,3
1700,4
1701,5
1702,8
1703,4
1704,3
1705,4
1706,2
1707,5
1708,4
1709,7
1710,2
1711,6
1712,2
1713,5
1714,2
1715,9
1716,3
1717,8
1718,1
1719,2
1720,9
1721,7
1722,6
1723,6
1724,1
1725,5
1726,9
1727,8
1728,1
1729,9
1730,1
1731,2
1732,3
1733,6
1734,7
1735,9
1736,1
1737,5
1738,1
1739,9
1740,5
1741,9
1742,5
1743,3
1744,4
1745,7
1746,9
1747,7
1748,1
1749,4
1750,9
1751,3
1752,6
1753,2
1754,3
1755,2
1756,9
1757,5
1758,5
1759,6
1760,6
1761,4
1762,7
1763,6
1764,1
1765,6
1766,3
1767,9
1768,5
1769,7
1770,9
1771,8
1772,3
1773,2
1774,8
1775,1
1776,8
1777,1
1778,4
1779,7
1780,9
1781,8
1782,3
1783,6
1784,6
1785,8
1786,9
1787,8
1788,5
1789,8
1790,6
1791,4
1792,3
1793,7
1794,9
1795,9
1796,7
1797,9
1798,8
1799,2
1800,5
1801,9
1802,6
1803,4
1804,9
1805,2
1806,7
1807,6
1808,6
1809,6
1810,6
1811,4
1812,8
1813,2
1814,4
1815,5
1816,8
1817,5
1818,7
1819,1
1820,2
1821,8
1822,2
1823,4
1824,2
1825,6
1826,6
1827,9
1828,4
1829,6
1830,5
1831,5
1832,7
1833,8
1834,7
1835,9
1836,1
1837,4
1838,6
1839,9
1840,1
1841,5
1842,8
1843,4
1844,4
1845,4
1846,4
1847,4
1848,5
1849,4
1850,4
1851,3
1852,6
1853,2
1854,3
1855,6
1856,9
1857,5
1858,1
1859,5
1860,5
1861,2
1862,1
1863,5
1864,7
1865,7
1866,9
1867,6
1868,7
1869,7
1870,7
1871,4
1872,7
1873,7
1874,4
1875,4
1876,7
1877,6
1878,6
1879,2
1880,6
1881,2
1882,1
1883,6
1884,5
1885,7
1886,7
1887,8
1888,5
1889,5
1890,7
1891,1
1892,6
1893,3
1894,6
1895,6
1896,7
1897,4
1898,7
1899,7
1900,5
1901,1
1902,6
1903,9
1904,9
1905,4
1906,3
1907,8
1908,5
1909,2
1910,8
1911,6
1912,4
1913,3
1914,7
1915,7
1916,1
1917,9
1918,9
1919,8
1920,7
1921,4
1922,3
1923,6
1924,5
1925,4
1926,7
1927,6
1928,6
1929,9
1930,1
1931,8
1932,4
1933,4
1934,2
1935,9
1936,2
1937,7
1938,9
1939,8
1940,3
1941,1
1942,2
1943,8
1944,5
1945,4
1946,6
1947,1
1948,7
1949,8
1950,4
1951,4
1952,3
1953,7
1954,5
1955,8
1956,5
1957,7
1958,1
1959,9
1960,8
1961,1
1962,4
1963,1
1964,7
1965,5
1966,5
1967,2
1968,4
1969,5
1970,9
1971,9
1972,6
1973,7
1974,3
1975,1
1976,8
1977,9
1978,4
1979,4
1980,7
1981,5
1982,5
1983,5
1984,4
1985,8
1986,8
1987,8
1988,2
1989,1
1990,2
1991,8
1992,8
1993,2
1994,6
1995,9
1996,7
1997,4
1998,2
1999,1
2000,7
2001,5
2002,1
2003,6
2004,1
2005,2
2006,2
2007,6
2008,3
2009,3
2010,2
2011,5
2012,9
2013,7
2014,3
2015,8
2016,6
2017,3
2018,8
2019,1
2020,3
2021,8
2022,6
2023,3
2024,3
2025,2
2026,4
2027,2
2028,9
2029,5
2030,8
2031,7
2032,2
2033,1
2034,6
2035,4
2036,6
2037,5
2038,9
2039,1
2040,4
2041,8
2042,6
2043,6
2044,7
2045,4
2046,9
2047,4
2048,8
2049,9
2050,9
2051,9
2052,2
2053,7
2054,6
2055,5
2056,1
2057,2
2058,2
2059,9
2060,8
2061,1
2062,7
2063,5
2064,7
2065,1
2066,5
2067,5
2068,9
2069,5
2070,4
2071,4
2072,4
2073,9
2074,1
2075,9
2076,4
2077,4
2078,4
2079,9
2080,6
2081,2
2082,2
2083,6
2084,5
2085,6
2086,9
2087,9
2088,6
2089,6
2090,7
2091,8
2092,1
2093,1
2094,9
2095,4
2096,4
2097,7
2098,1
2099,4
2100,7
2101,1
2102,6
2103,8
2104,5
2105,7
2106,7
2107,9
2108,1
2109,4
2110,5
2111,8
2112,6
2113,7
2114,4
2115,7
2116,8
2117,3
2118,3
2119,8
2120,8
2121,5
2122,8
2123,3
2124,3
2125,2
2126,3
2127,7
2128,2
2129,2
2130,6
2131,2
2132,5
2133,6
2134,2
2135,9
2136,8
2137,5
2138,1
2139,8
2140,1
2141,4
2142,7
2143,5
2144,1
2145,4
2146,1
2147,2
2148,5
2149,4
2150,1
2151,4
2152,3
2153,6
2154,8
2155,4
2156,5
2157,1
2158,3
2159,4
2160,2
2161,2
2162,1
2163,4
2164,5
2165,1
2166,9
2167,9
2168,8
2169,1
2170,6
2171,9
2172,3
2173,7
2174,8
2175,7
2176,2
2177,7
2178,8
2179,5
2180,4
2181,7
2182,4
2183,5
2184,9
2185,3
2186,5
2187,5
2188,9
2189,1
2190,5
2191,7
2192,3
2193,7
2194,7
2195,7
2196,1
2197,1
2198,5
2199,1
2200,8
2201,7
2202,6
2203,2
2204,9
2205,3
2206,4
2207,8
2208,1
2209,8
2210,8
2211,5
2212,3
2213,3
2214,6
2215,6
2216,1
2217,3
2218,5
2219,5
2220,1
2221,6
2222,8
2223,2
2224,2
2225,8
2226,7
2227,6
2228,6
2229,4
2230,2
2231,2
2232,6
2233,9
2234,3
2235,9
2236,5
2237,1
2238,5
2239,2
2240,2
2241,8
2242,2
2243,6
2244,2
2245,5
2246,3
2247,8
2248,6
2249,6
2250,1
2251,6
2252,4
2253,4
2254,1
2255,6
2256,6
2257,1
2258,9
2259,3
2260,1
2261,9
2262,5
2263,1
2264,9
2265,5
2266,9
2267,9
2268,5
2269,1
2270,4
2271,2
2272,2
2273,4
2274,9
2275,4
2276,8
2277,7
2278,4
2279,4
2280,4
2281,3
2282,5
2283,2
2284,4
2285,1
2286,9
2287,2
2288,4
2289,1
2290,2
2291,4
2292,7
2293,3
2294,4
2295,4
2296,6
2297,8
2298,2
2299,3
2300,5
2301,6
2302,1
2303,3
2304,2
2305,3
2306,1
2307,6
2308,3
2309,8
2310,1
2311,8
2312,5
2313,6
2314,2
2315,3
2316,3
2317,9
2318,7
2319,8
2320,2
2321,5
2322,5
2323,4
2324,9
2325,7
2326,4
2327,1
2328,8
2329,1
2330,6
2331,2
2332,6
2333,1
2334,7
2335,9
2336,4
2337,1
2338,4
2339,7
2340,2
2341,9
2342,6
2343,2
2344,1
2345,7
2346,2
2347,6
2348,3
2349,9
2350,3
2351,9
2352,2
2353,3
2354,7
2355,9
2356,4
2357,9
2358,7
2359,8
2360,7
2361,6
2362,1
2363,6
2364,7
2365,8
2366,8
2367,8
2368,3
2369,3
2370,6
2371,5
2372,6
2373,8
2374,1
2375,8
2376,7
2377,3
2378,8
2379,8
2380,7
2381,8
2382,3
2383,5
2384,3
2385,5
2386,1
2387,8
2388,1
2389,5
2390,8
2391,2
2392,5
2393,7
2394,8
2395,2
2396,3
2397,8
2398,4
2399,2
2400,9
2401,5
2402,6
2403,4
2404,3
2405,6
2406,3
2407,4
2408,2
2409,4
2410,1
2411,8
2412,8
2413,6
2414,8
2415,7
2416,5
2417,4
2418,1
2419,1
2420,6
2421,8
2422,3
2423,1
2424,9
2425,4
2426,4
2427,2
2428,3
2429,8
2430,3
2431,7
2432,9
2433,5
2434,9
2435,9
2436,8
2437,9
2438,2
2439,5
2440,6
2441,4
2442,1
2443,6
2444,1
2445,7
2446,7
2447,8
2448,9
2449,8
2450,7
2451,4
2452,1
2453,4
2454,7
2455,3
2456,4
2457,9
2458,1
2459,1
2460,4
2461,7
2462,3
2463,5
2464,1
2465,1
2466,1
2467,1
2468,2
2469,3
2470,1
2471,1
2472,7
2473,5
2474,8
2475,5
2476,3
2477,3
2478,9
2479,9
2480,3
2481,3
2482,7
2483,3
2484,9
2485,3
2486,5
2487,4
2488,6
2489,1
2490,6
2491,3
2492,5
2493,4
2494,8
2495,7
2496,8
2497,7
2498,7
2499,7
2500,1
2501,4
2502,6
2503,1
2504,6
2505,1
2506,1
2507,9
2508,8
2509,7
2510,9
2511,3
2512,8
2513,3
2514,6
2515,1
2516,2
2517,7
2518,4
2519,5
2520,4
2521,4
2522,2
2523,1
2524,3
2525,6
2526,8
2527,5
2528,7
2529,9
2530,3
2531,7
2532,6
2533,2
2534,5
2535,2
2536,4
2537,2
2538,6
2539,6
2540,3
2541,2
2542,5
2543,1
2544,3
2545,6
2546,8
2547,2
2548,1
2549,3
2550,4
2551,8
2552,4
2553,4
2554,1
2555,7
2556,3
2557,2
2558,2
2559,4
2560,1
2561,1
2562,2
2563,7
2564,9
2565,3
2566,9
2567,5
2568,1
2569,1
2570,2
2571,5
2572,7
2573,9
2574,3
2575,5
2576,3
2577,4
2578,7
2579,9
2580,1
2581,4
2582,4
2583,5
2584,8
2585,6
2586,9
2587,9
2588,9
2589,8
2590,1
2591,6
2592,7
2593,6
2594,6
2595,7
2596,9
2597,9
2598,7
2599,9
2600,1
2601,8
2602,2
2603,4
2604,1
2605,4
2606,2
2607,6
2608,4
2609,3
2610,3
2611,5
2612,6
2613,2
2614,9
2615,5
2616,2
2617,9
2618,9
2619,8
2620,3
2621,5
2622,8
2623,6
2624,9
2625,8
2626,5
2627,9
2628,7
2629,3
2630,3
2631,1
2632,9
2633,7
2634,8
2635,7
2636,7
2637,6
2638,5
2639,5
2640,5
2641,6
2642,1
2643,9
2644,8
2645,6
2646,5
2647,4
2648,7
2649,1
2650,3
2651,4
2652,2
2653,2
2654,9
2655,9
2656,4
2657,8
2658,1
2659,9
2660,9
2661,5
2662,8
2663,6
2664,3
2665,6
2666,8
2667,4
2668,7
2669,1
2670,2
2671,3
2672,6
2673,6
2674,8
2675,3
2676,2
2677,5
2678,5
2679,4
2680,8
2681,5
2682,6
2683,6
2684,8
2685,7
2686,8
2687,8
2688,3
2689,3
2690,5
2691,9
2692,9
2693,4
2694,8
2695,2
2696,9
2697,5
2698,8
2699,2
2700,9
2701,9
2702,1
2703,7
2704,3
2705,2
2706,7
2707,1
2708,7
2709,8
2710,9
2711,3
2712,3
2713,5
2714,1
2715,7
2716,1
2717,3
2718,3
2719,7
2720,2
2721,3
2722,1
2723,9
2724,2
2725,1
2726,4
2727,8
2728,2
2729,8
2730,7
2731,6
2732,7
2733,5
2734,6
2735,9
2736,8
2737,8
2738,9
2739,5
2740,2
2741,3
2742,3
2743,7
2744,9
2745,4
2746,8
2747,3
2748,7
2749,3
2750,2
2751,7
2752,7
2753,6
2754,3
2755,9
2756,7
2757,4
2758,1
2759,6
2760,8
2761,1
2762,7
2763,8
2764,5
2765,2
2766,7
2767,1
2768,3
2769,2
2770,4
2771,3
2772,1
2773,6
2774,2
2775,9
2776,3
2777,9
2778,3
2779,8
2780,3
2781,6
2782,6
2783,2
2784,3
2785,8
2786,9
2787,3
2788,3
2789,3
2790,9
2791,6
2792,4
2793,9
2794,8
2795,5
2796,3
2797,2
2798,9
2799,4
2800,9
2801,2
2802,5
2803,5
2804,2
2805,3
2806,1
2807,1
2808,8
2809,5
2810,5
2811,3
2812,7
2813,1
2814,7
2815,8
2816,4
2817,2
2818,6
2819,9
2820,6
2821,4
2822,8
2823,7
2824,2
2825,8
2826,2
2827,8
2828,6
2829,1
2830,2
2831,7
2832,3
2833,8
2834,9
2835,4
2836,3
2837,5
2838,9
2839,9
2840,9
2841,5
2842,6
2843,6
2844,3
2845,6
2846,7
2847,2
2848,6
2849,2
2850,5
2851,8
2852,9
2853,1
2854,1
2855,9
2856,7
2857,6
2858,7
2859,6
2860,3
2861,1
2862,2
2863,9
2864,3
2865,7
2866,9
2867,2
2868,6
2869,8
2870,5
2871,1
2872,9
2873,8
2874,4
2875,1
2876,9
2877,6
2878,1
2879,8
2880,5
2881,2
2882,9
2883,2
2884,3
2885,4
2886,5
2887,1
2888,4
2889,5
2890,3
2891,1
2892,9
2893,9
2894,1
2895,6
2896,4
2897,6
2898,5
2899,7
2900,9
2901,5
2902,2
2903,8
2904,6
2905,4
2906,4
2907,1
2908,6
2909,9
2910,7
2911,1
2912,3
2913,3
2914,9
2915,7
2916,2
2917,6
2918,6
2919,7
2920,9
2921,4
2922,6
2923,8
2924,5
2925,9
2926,5
2927,5
2928,4
2929,7
2930,7
2931,5
2932,3
2933,5
2934,7
2935,8
2936,5
2937,4
2938,8
2939,8
2940,6
2941,4
2942,8
2943,3
2944,2
2945,7
2946,2
2947,7
2948,5
2949,1
2950,1
2951,8
2952,4
2953,2
2954,6
2955,9
2956,6
2957,7
2958,5
2959,5
2960,6
2961,7
2962,5
2963,1
2964,8
2965,4
2966,8
2967,9
2968,3
2969,4
2970,7
2971,8
2972,9
2973,9
2974,1
2975,7
2976,8
2977,1
2978,4
2979,6
2980,3
2981,8
2982,6
2983,2
2984,3
2985,4
2986,3
2987,3
2988,1
2989,8
2990,1
2991,9
2992,9
2993,9
2994,3
2995,8
2996,3
2997,2
