periodo;semana;dia;monto;descuento;prod;cantidad;IncluidoProdTest
40;Semana 1;Wednesday;1150;0;KS_665;1;0
41;Semana 1;Wednesday;100;0;KS_329;1;1
42;Semana 1;Wednesday;100;0;KS_328;1;1
43;Semana 1;Wednesday;1050;0;KS_318;1;1
44;Semana 1;Wednesday;1050;0;KS_324;1;1
45;Semana 1;Wednesday;1050;0;KS_366;2;1
46;Semana 1;Wednesday;1175;0;KS_552;1;0
47;Semana 1;Wednesday;1175;0;KS_366;2;1
48;Semana 1;Wednesday;1150;300;KS_330;1;1
49;Semana 1;Wednesday;1150;300;KS_574;1;0
50;Semana 1;Wednesday;1150;300;KS_576;1;0
51;Semana 1;Wednesday;1150;300;KS_348;1;1
52;Semana 1;Wednesday;775;0;KS_343;1;1
53;Semana 1;Wednesday;775;0;KS_583;1;1
54;Semana 1;Wednesday;600;0;KS_337;1;1
55;Semana 1;Wednesday;600;0;KS_331;1;1
56;Semana 1;Wednesday;600;0;KS_645;1;0
57;Semana 1;Wednesday;350;0;KS_547;1;1
58;Semana 1;Wednesday;350;0;KS_325;2;1
59;Semana 1;Wednesday;950;0;KS_335;1;0
60;Semana 1;Wednesday;125;0;KS_339;1;1
61;Semana 1;Wednesday;2250;0;KS_468;1;1
62;Semana 1;Thursday;1275;0;KS_549;1;0
63;Semana 1;Thursday;1275;0;KS_319;1;0
64;Semana 1;Thursday;1275;0;KS_331;2;1
65;Semana 1;Thursday;1275;0;KS_329;4;1
66;Semana 1;Thursday;100;0;KS_329;1;1
67;Semana 1;Thursday;1000;0;KS_310;1;0
68;Semana 1;Thursday;650;0;KS_542;1;0
69;Semana 1;Thursday;550;0;KS_592;1;0
70;Semana 1;Thursday;825;0;KS_318;1;1
71;Semana 1;Thursday;825;0;KS_536;1;0
72;Semana 1;Thursday;1200;0;KS_399;1;0
73;Semana 1;Thursday;1200;0;KS_333;1;0
74;Semana 1;Thursday;400;0;KS_367;1;1
75;Semana 1;Thursday;400;0;KS_544;3;1
76;Semana 1;Thursday;400;0;KS_328;1;1
77;Semana 1;Thursday;950;0;KS_335;1;0
78;Semana 1;Thursday;150;0;KS_348;2;1
79;Semana 1;Thursday;150;0;KS_526;2;0
80;Semana 1;Thursday;600;0;KS_308;1;1
81;Semana 1;Thursday;350;0;KS_688;1;1
82;Semana 1;Thursday;650;0;KS_664;1;1
83;Semana 1;Thursday;325;0;KS_330;1;1
84;Semana 1;Thursday;900;0;KS_624;1;0
85;Semana 1;Thursday;800;0;KS_486;1;1
86;Semana 1;Thursday;125;0;KS_318;1;1
87;Semana 1;Friday;1150;0;KS_487;1;0
88;Semana 1;Friday;1150;0;KS_689;1;0
89;Semana 1;Friday;1450;0;KS_690;1;0
90;Semana 1;Friday;450;0;KS_360;3;1
91;Semana 1;Friday;100;0;KS_329;1;1
92;Semana 1;Friday;400;0;KS_367;1;1
93;Semana 1;Friday;550;0;KS_595;1;0
94;Semana 1;Friday;1125;75;KS_343;1;1
95;Semana 1;Friday;1125;75;KS_339;2;1
96;Semana 1;Friday;1125;75;KS_689;1;0
97;Semana 1;Friday;400;0;KS_367;1;1
98;Semana 1;Friday;1625;0;KS_330;5;1
99;Semana 1;Friday;500;0;KS_332;1;0
100;Semana 1;Friday;375;0;KS_340;1;1
101;Semana 1;Friday;950;0;KS_318;2;1
102;Semana 1;Friday;950;0;KS_688;2;1
103;Semana 1;Friday;100;0;KS_336;1;1
104;Semana 1;Friday;350;0;KS_662;1;1
105;Semana 1;Friday;250;0;KS_488;1;0
106;Semana 1;Friday;750;50;KS_325;2;1
107;Semana 1;Friday;750;50;KS_329;2;1
108;Semana 1;Friday;750;50;KS_689;1;0
109;Semana 1;Friday;375;0;KS_656;3;1
110;Semana 1;Friday;125;0;KS_324;1;1
111;Semana 1;Friday;100;0;KS_336;1;1
112;Semana 1;Friday;350;0;KS_688;1;1
113;Semana 1;Friday;350;0;KS_688;1;1
114;Semana 1;Friday;500;0;KS_332;1;0
115;Semana 1;Friday;300;0;KS_336;3;1
116;Semana 1;Friday;325;0;KS_696;1;0
117;Semana 1;Friday;1000;0;KS_398;1;1
118;Semana 1;Friday;1000;0;KS_336;3;1
119;Semana 1;Friday;375;0;KS_340;1;1
120;Semana 1;Friday;350;0;KS_662;1;1
121;Semana 1;Friday;125;0;KS_324;1;1
122;Semana 1;Friday;1700;1700;KS_370;1;0
123;Semana 1;Friday;1700;1700;KS_532;3;0
124;Semana 1;Friday;1700;1700;KS_594;1;0
125;Semana 1;Friday;1700;1700;KS_584;1;0
126;Semana 1;Friday;1700;1700;KS_490;1;0
127;Semana 1;Friday;1700;1700;KS_410;1;0
128;Semana 1;Friday;5600;100;KS_382;2;0
129;Semana 1;Friday;5600;100;KS_624;1;0
130;Semana 1;Friday;5600;100;KS_596;2;1
131;Semana 1;Friday;5600;100;KS_562;1;0
132;Semana 1;Friday;750;0;KS_410;1;0
133;Semana 1;Friday;1000;1200;KS_538;1;1
134;Semana 1;Friday;1000;1200;KS_312;1;1
135;Semana 1;Saturday;600;0;KS_343;1;1
136;Semana 1;Saturday;125;0;KS_325;1;1
137;Semana 1;Saturday;600;0;KS_612;1;0
138;Semana 1;Saturday;175;0;KS_368;1;1
139;Semana 1;Saturday;100;0;KS_336;1;1
140;Semana 1;Saturday;500;25;KS_582;3;1
141;Semana 1;Saturday;450;0;KS_668;1;0
142;Semana 1;Saturday;125;0;KS_318;1;1
143;Semana 1;Saturday;100;0;KS_547;1;1
144;Semana 1;Saturday;2200;0;KS_328;2;1
145;Semana 1;Saturday;2200;0;KS_406;2;1
146;Semana 1;Saturday;1500;0;KS_336;1;1
147;Semana 1;Saturday;1500;0;KS_366;1;1
148;Semana 1;Saturday;1500;0;KS_406;1;1
149;Semana 1;Saturday;1100;0;KS_344;1;0
150;Semana 1;Saturday;1000;0;KS_310;1;0
151;Semana 1;Saturday;800;0;KS_336;1;1
152;Semana 1;Saturday;800;0;KS_460;1;1
153;Semana 1;Saturday;1200;0;KS_333;1;0
154;Semana 1;Saturday;1200;0;KS_689;2;0
155;Semana 1;Saturday;250;0;KS_319;2;0
156;Semana 1;Saturday;950;0;KS_335;1;0
157;Semana 1;Saturday;5000;100;KS_545;1;0
158;Semana 1;Saturday;5000;100;KS_335;1;0
159;Semana 1;Saturday;5000;100;KS_539;2;0
160;Semana 1;Saturday;5000;100;KS_487;1;0
161;Semana 1;Saturday;5000;100;KS_649;1;0
162;Semana 1;Saturday;5000;100;KS_367;1;1
163;Semana 1;Sunday;525;0;KS_318;1;1
164;Semana 1;Sunday;525;0;KS_366;1;1
165;Semana 1;Sunday;3100;0;KS_454;1;0
166;Semana 1;Sunday;3100;0;KS_312;1;1
167;Semana 1;Sunday;3100;0;KS_310;1;0
168;Semana 1;Sunday;2650;700;KS_540;2;1
169;Semana 1;Sunday;2650;700;KS_688;1;1
170;Semana 1;Sunday;400;0;KS_366;1;1
171;Semana 1;Monday;550;0;KS_603;1;0
172;Semana 1;Monday;1000;0;KS_407;1;0
173;Semana 1;Monday;350;0;KS_369;2;0
174;Semana 1;Monday;500;25;KS_645;3;0
175;Semana 1;Monday;200;0;KS_337;2;1
176;Semana 1;Tuesday;525;0;KS_369;3;0
177;Semana 1;Tuesday;100;0;KS_547;1;1
178;Semana 1;Tuesday;1500;0;KS_389;1;0
179;Semana 2;Wednesday;1750;0;KS_369;10;0
180;Semana 2;Wednesday;3750;0;KS_467;1;0
181;Semana 2;Wednesday;1500;0;KS_383;1;0
182;Semana 2;Wednesday;3250;0;KS_681;1;0
183;Semana 2;Wednesday;3250;0;KS_423;1;0
184;Semana 2;Thursday;3000;0;KS_332;1;0
185;Semana 2;Thursday;3000;0;KS_342;1;0
186;Semana 2;Thursday;175;0;KS_491;1;0
187;Semana 2;Thursday;18125;0;KS_304;1;1
188;Semana 2;Thursday;18125;0;KS_374;1;0
189;Semana 2;Thursday;18125;0;KS_414;1;0
190;Semana 2;Thursday;18125;0;KS_692;1;1
191;Semana 2;Thursday;18125;0;KS_544;2;1
192;Semana 2;Thursday;18125;0;KS_546;2;1
193;Semana 2;Thursday;18125;0;KS_336;3;1
194;Semana 2;Thursday;18125;0;KS_364;1;1
195;Semana 2;Thursday;18125;0;KS_318;8;1
196;Semana 2;Thursday;18125;0;KS_360;4;1
197;Semana 2;Thursday;18125;0;KS_368;1;1
198;Semana 2;Thursday;18125;0;KS_330;1;1
199;Semana 2;Thursday;18125;0;KS_340;1;1
200;Semana 2;Thursday;18125;0;KS_328;2;1
201;Semana 2;Thursday;18125;0;KS_702;1;1
202;Semana 2;Thursday;18125;0;KS_536;1;0
203;Semana 2;Thursday;18125;0;KS_326;3;1
204;Semana 2;Thursday;18125;0;KS_586;2;0
205;Semana 2;Thursday;18125;0;KS_664;1;1
206;Semana 2;Thursday;18125;0;KS_404;1;1
207;Semana 2;Thursday;18125;0;KS_366;3;1
208;Semana 2;Thursday;18125;0;KS_406;1;1
209;Semana 2;Thursday;18125;0;KS_460;1;1
210;Semana 2;Thursday;1500;75;KS_582;3;1
211;Semana 2;Thursday;1500;75;KS_644;6;1
212;Semana 2;Thursday;13200;0;KS_302;1;1
213;Semana 2;Thursday;13200;0;KS_370;1;0
214;Semana 2;Thursday;13200;0;KS_478;1;0
215;Semana 2;Thursday;13200;0;KS_526;3;0
216;Semana 2;Thursday;13200;0;KS_652;1;1
217;Semana 2;Thursday;13200;0;KS_336;1;1
218;Semana 2;Thursday;13200;0;KS_324;2;1
219;Semana 2;Thursday;13200;0;KS_318;6;1
220;Semana 2;Thursday;13200;0;KS_360;4;1
221;Semana 2;Thursday;13200;0;KS_368;1;1
222;Semana 2;Thursday;13200;0;KS_330;1;1
223;Semana 2;Thursday;13200;0;KS_340;1;1
224;Semana 2;Thursday;13200;0;KS_328;2;1
225;Semana 2;Thursday;13200;0;KS_614;1;0
226;Semana 2;Thursday;13200;0;KS_624;1;0
227;Semana 2;Thursday;13200;0;KS_702;1;1
228;Semana 2;Thursday;13200;0;KS_604;1;1
229;Semana 2;Thursday;13200;0;KS_572;2;0
230;Semana 2;Thursday;13200;0;KS_518;1;0
231;Semana 2;Thursday;13200;0;KS_536;1;0
232;Semana 2;Thursday;13200;0;KS_538;1;1
233;Semana 2;Thursday;13200;0;KS_326;1;1
234;Semana 2;Thursday;13200;0;KS_582;2;1
235;Semana 2;Thursday;13200;0;KS_486;1;1
236;Semana 2;Thursday;13200;0;KS_366;1;1
237;Semana 2;Thursday;4750;0;KS_711;1;0
238;Semana 2;Thursday;4750;0;KS_373;1;0
239;Semana 2;Thursday;4750;0;KS_331;1;1
240;Semana 2;Thursday;4750;0;KS_571;1;0
241;Semana 2;Thursday;4750;0;KS_579;1;0
242;Semana 2;Thursday;4750;0;KS_359;1;0
243;Semana 2;Thursday;300;0;KS_337;2;1
244;Semana 2;Thursday;300;0;KS_329;1;1
245;Semana 2;Friday;3450;0;KS_720;1;1
246;Semana 2;Friday;3450;0;KS_484;1;1
247;Semana 2;Friday;5875;200;KS_398;1;1
248;Semana 2;Friday;5875;200;KS_624;1;0
249;Semana 2;Friday;5875;200;KS_718;2;0
250;Semana 2;Friday;5875;200;KS_666;3;1
251;Semana 2;Friday;5875;200;KS_484;1;1
252;Semana 2;Friday;4900;0;KS_382;1;0
253;Semana 2;Friday;4900;0;KS_594;2;0
254;Semana 2;Friday;4900;0;KS_558;2;0
255;Semana 2;Friday;4900;0;KS_606;1;0
256;Semana 2;Friday;4900;0;KS_312;1;1
257;Semana 2;Friday;10300;0;KS_532;2;0
258;Semana 2;Friday;10300;0;KS_442;1;0
259;Semana 2;Friday;10300;0;KS_468;1;1
260;Semana 2;Friday;10300;0;KS_652;6;1
261;Semana 2;Friday;10300;0;KS_360;3;1
262;Semana 2;Friday;10300;0;KS_368;1;1
263;Semana 2;Friday;10300;0;KS_596;1;1
264;Semana 2;Friday;10300;0;KS_600;1;1
265;Semana 2;Friday;10300;0;KS_538;2;1
266;Semana 2;Friday;10300;0;KS_326;1;1
267;Semana 2;Friday;10300;0;KS_582;1;1
268;Semana 2;Friday;10300;0;KS_308;1;1
269;Semana 2;Friday;1000;50;KS_644;6;1
270;Semana 2;Friday;1975;0;KS_319;1;0
271;Semana 2;Friday;1975;0;KS_307;1;0
272;Semana 2;Friday;1975;0;KS_689;1;0
273;Semana 2;Friday;1550;0;KS_335;1;0
274;Semana 2;Friday;1550;0;KS_343;1;1
275;Semana 2;Friday;2550;0;KS_332;1;0
276;Semana 2;Friday;2550;0;KS_344;1;0
277;Semana 2;Friday;6075;0;KS_496;1;1
278;Semana 2;Friday;6075;0;KS_546;1;1
279;Semana 2;Friday;6075;0;KS_318;4;1
280;Semana 2;Friday;6075;0;KS_368;1;1
281;Semana 2;Friday;6075;0;KS_328;1;1
282;Semana 2;Friday;6075;0;KS_614;1;0
283;Semana 2;Friday;6075;0;KS_326;1;1
284;Semana 2;Friday;6075;0;KS_664;1;1
285;Semana 2;Friday;6075;0;KS_358;1;1
286;Semana 2;Friday;6075;0;KS_308;2;1
287;Semana 2;Friday;6075;0;KS_366;3;1
288;Semana 2;Friday;6075;0;KS_688;1;1
289;Semana 2;Friday;4900;0;KS_386;2;1
290;Semana 2;Friday;500;200;KS_688;2;1
291;Semana 2;Friday;125;0;KS_655;1;0
292;Semana 2;Friday;700;0;KS_605;1;0
293;Semana 2;Friday;0;30625;KS_370;6;0
294;Semana 2;Friday;0;30625;KS_682;1;0
295;Semana 2;Friday;0;30625;KS_388;1;0
296;Semana 2;Friday;0;30625;KS_386;1;1
297;Semana 2;Friday;0;30625;KS_548;6;1
298;Semana 2;Friday;0;30625;KS_320;1;0
299;Semana 2;Friday;0;30625;KS_544;6;1
300;Semana 2;Friday;0;30625;KS_546;6;1
301;Semana 2;Friday;0;30625;KS_652;6;1
302;Semana 2;Friday;0;30625;KS_654;6;1
303;Semana 2;Friday;0;30625;KS_656;6;1
304;Semana 2;Friday;0;30625;KS_318;12;1
305;Semana 2;Friday;0;30625;KS_360;6;1
306;Semana 2;Friday;0;30625;KS_332;2;0
307;Semana 2;Friday;0;30625;KS_328;12;1
308;Semana 2;Friday;0;30625;KS_338;12;1
309;Semana 2;Friday;0;30625;KS_614;3;0
310;Semana 2;Friday;0;30625;KS_718;2;0
311;Semana 2;Friday;0;30625;KS_590;1;0
312;Semana 2;Friday;0;30625;KS_570;1;0
313;Semana 2;Friday;0;30625;KS_604;1;1
314;Semana 2;Friday;0;30625;KS_576;1;0
315;Semana 2;Friday;0;30625;KS_572;1;0
316;Semana 2;Friday;0;30625;KS_606;1;0
317;Semana 2;Friday;0;30625;KS_564;1;0
318;Semana 2;Friday;0;30625;KS_626;1;0
319;Semana 2;Friday;0;30625;KS_690;1;0
320;Semana 2;Friday;8300;0;KS_548;1;1
321;Semana 2;Friday;8300;0;KS_652;1;1
322;Semana 2;Friday;8300;0;KS_336;10;1
323;Semana 2;Friday;8300;0;KS_364;6;1
324;Semana 2;Friday;8300;0;KS_654;5;1
325;Semana 2;Friday;8300;0;KS_318;1;1
326;Semana 2;Friday;8300;0;KS_360;5;1
327;Semana 2;Friday;8300;0;KS_330;1;1
328;Semana 2;Friday;8300;0;KS_340;1;1
329;Semana 2;Friday;8300;0;KS_328;1;1
330;Semana 2;Friday;8300;0;KS_614;1;0
331;Semana 2;Friday;8300;0;KS_600;1;1
332;Semana 2;Friday;8300;0;KS_720;1;1
333;Semana 2;Friday;8300;0;KS_688;2;1
334;Semana 2;Friday;425;0;KS_704;1;0
335;Semana 2;Friday;1500;250;KS_680;1;0
336;Semana 2;Friday;4450;0;KS_382;1;0
337;Semana 2;Friday;4450;0;KS_386;1;1
338;Semana 2;Friday;4450;0;KS_548;3;1
339;Semana 2;Friday;4450;0;KS_328;1;1
340;Semana 2;Friday;4450;0;KS_346;1;1
341;Semana 2;Friday;0;196150;KS_355;3;0
342;Semana 2;Friday;0;196150;KS_497;3;0
343;Semana 2;Friday;0;196150;KS_495;3;0
344;Semana 2;Friday;0;196150;KS_381;1;0
345;Semana 2;Friday;0;196150;KS_681;13;0
346;Semana 2;Friday;0;196150;KS_479;6;0
347;Semana 2;Friday;0;196150;KS_387;1;0
348;Semana 2;Friday;0;196150;KS_443;1;0
349;Semana 2;Friday;0;196150;KS_465;12;1
350;Semana 2;Friday;0;196150;KS_551;2;0
351;Semana 2;Friday;0;196150;KS_337;5;1
352;Semana 2;Friday;0;196150;KS_365;4;0
353;Semana 2;Friday;0;196150;KS_369;40;0
354;Semana 2;Friday;0;196150;KS_329;2;1
355;Semana 2;Friday;0;196150;KS_615;1;0
356;Semana 2;Friday;0;196150;KS_719;1;0
357;Semana 2;Friday;0;196150;KS_575;1;0
358;Semana 2;Friday;0;196150;KS_559;1;0
359;Semana 2;Friday;0;196150;KS_713;2;0
360;Semana 2;Friday;0;196150;KS_721;2;0
361;Semana 2;Friday;0;196150;KS_313;12;0
362;Semana 2;Friday;0;196150;KS_311;12;1
363;Semana 2;Friday;0;196150;KS_583;20;1
364;Semana 2;Friday;0;196150;KS_511;1;0
365;Semana 2;Friday;0;196150;KS_485;12;0
366;Semana 2;Friday;0;196150;KS_487;2;0
367;Semana 2;Friday;0;196150;KS_645;56;0
368;Semana 2;Friday;0;196150;KS_649;3;0
369;Semana 2;Friday;0;196150;KS_359;7;0
370;Semana 2;Friday;0;196150;KS_309;6;1
371;Semana 2;Friday;450;0;KS_337;1;1
372;Semana 2;Friday;450;0;KS_689;1;0
373;Semana 2;Friday;500;0;KS_319;1;0
374;Semana 2;Friday;500;0;KS_341;1;1
375;Semana 2;Friday;600;0;KS_309;1;1
376;Semana 2;Friday;500;0;KS_336;1;1
377;Semana 2;Friday;500;0;KS_330;1;1
378;Semana 2;Friday;500;0;KS_348;1;1
379;Semana 2;Friday;725;0;KS_490;1;0
380;Semana 2;Friday;725;0;KS_362;1;0
381;Semana 2;Friday;725;0;KS_366;1;1
382;Semana 2;Friday;800;0;KS_318;1;1
383;Semana 2;Friday;800;0;KS_330;1;1
384;Semana 2;Friday;800;0;KS_688;1;1
385;Semana 2;Friday;1525;0;KS_342;1;0
386;Semana 2;Friday;1525;0;KS_348;1;1
387;Semana 2;Friday;1525;0;KS_362;1;0
388;Semana 2;Friday;1525;0;KS_688;2;1
389;Semana 2;Friday;1375;0;KS_336;1;1
390;Semana 2;Friday;1375;0;KS_330;1;1
391;Semana 2;Friday;1375;0;KS_612;1;0
392;Semana 2;Friday;1375;0;KS_326;1;1
393;Semana 2;Friday;600;0;KS_318;1;1
394;Semana 2;Friday;600;0;KS_360;2;1
395;Semana 2;Friday;600;0;KS_582;1;1
396;Semana 2;Friday;325;0;KS_652;1;1
397;Semana 2;Friday;325;0;KS_352;1;0
398;Semana 2;Friday;325;0;KS_318;1;1
399;Semana 2;Friday;1625;0;KS_324;1;1
400;Semana 2;Friday;1625;0;KS_484;1;1
401;Semana 2;Friday;3175;0;KS_368;5;1
402;Semana 2;Friday;3175;0;KS_718;1;0
403;Semana 2;Friday;3175;0;KS_626;1;0
404;Semana 2;Friday;1400;0;KS_546;3;1
405;Semana 2;Friday;1400;0;KS_366;1;1
406;Semana 2;Friday;1400;0;KS_688;2;1
407;Semana 2;Friday;625;0;KS_546;1;1
408;Semana 2;Friday;625;0;KS_318;1;1
409;Semana 2;Friday;625;0;KS_366;1;1
410;Semana 2;Friday;475;0;KS_348;1;1
411;Semana 2;Friday;475;0;KS_366;1;1
412;Semana 2;Friday;900;0;KS_336;1;1
413;Semana 2;Friday;900;0;KS_486;1;1
414;Semana 2;Saturday;975;0;KS_360;4;1
415;Semana 2;Saturday;975;0;KS_340;1;1
416;Semana 2;Saturday;700;0;KS_370;1;0
417;Semana 2;Saturday;1750;0;KS_680;1;0
418;Semana 2;Saturday;375;0;KS_636;5;1
419;Semana 2;Saturday;250;0;KS_324;2;1
420;Semana 2;Saturday;925;0;KS_336;3;1
421;Semana 2;Saturday;925;0;KS_324;2;1
422;Semana 2;Saturday;925;0;KS_318;3;1
423;Semana 2;Saturday;3000;0;KS_304;1;1
424;Semana 2;Saturday;3000;0;KS_688;1;1
425;Semana 2;Saturday;175;0;KS_369;1;0
426;Semana 2;Saturday;775;0;KS_655;1;0
427;Semana 2;Saturday;775;0;KS_319;2;0
428;Semana 2;Saturday;775;0;KS_367;1;1
429;Semana 2;Saturday;1075;0;KS_341;1;1
430;Semana 2;Saturday;1075;0;KS_605;1;0
431;Semana 2;Saturday;1500;0;KS_485;1;0
432;Semana 2;Saturday;500;25;KS_583;3;1
433;Semana 2;Saturday;6925;0;KS_372;2;0
434;Semana 2;Saturday;6925;0;KS_516;1;0
435;Semana 2;Saturday;6925;0;KS_544;2;1
436;Semana 2;Saturday;6925;0;KS_324;2;1
437;Semana 2;Saturday;6925;0;KS_330;2;1
438;Semana 2;Saturday;6925;0;KS_340;1;1
439;Semana 2;Saturday;6925;0;KS_584;2;0
440;Semana 2;Saturday;6925;0;KS_358;1;1
441;Semana 2;Saturday;6925;0;KS_362;1;0
442;Semana 2;Saturday;6925;0;KS_366;1;1
443;Semana 2;Saturday;6925;0;KS_406;1;1
444;Semana 2;Saturday;2250;0;KS_551;1;0
445;Semana 2;Saturday;2250;0;KS_409;1;0
446;Semana 2;Saturday;2250;0;KS_313;1;0
447;Semana 2;Saturday;1000;0;KS_311;1;1
448;Semana 2;Saturday;375;0;KS_325;1;1
449;Semana 2;Saturday;375;0;KS_319;2;0
450;Semana 2;Saturday;1200;0;KS_532;1;0
451;Semana 2;Saturday;1200;0;KS_548;2;1
452;Semana 2;Saturday;1200;0;KS_688;2;1
453;Semana 2;Saturday;350;0;KS_689;1;0
454;Semana 2;Saturday;1100;0;KS_676;1;0
455;Semana 2;Saturday;400;0;KS_462;1;0
456;Semana 2;Monday;375;0;KS_318;3;1
457;Semana 2;Monday;1875;0;KS_372;1;0
458;Semana 2;Monday;1875;0;KS_572;1;0
459;Semana 2;Monday;1875;0;KS_584;1;0
460;Semana 2;Monday;4550;0;KS_468;1;1
461;Semana 2;Monday;4550;0;KS_536;1;0
462;Semana 2;Monday;4550;0;KS_484;1;1
463;Semana 2;Monday;200;0;KS_336;2;1
464;Semana 2;Monday;750;0;KS_526;10;0
465;Semana 2;Monday;775;0;KS_341;1;1
466;Semana 2;Monday;775;0;KS_367;1;1
467;Semana 2;Monday;1050;0;KS_318;2;1
468;Semana 2;Monday;1050;0;KS_366;2;1
469;Semana 2;Monday;1300;0;KS_544;1;1
470;Semana 2;Monday;1300;0;KS_332;1;0
471;Semana 2;Monday;1300;0;KS_688;2;1
472;Semana 2;Monday;450;0;KS_328;1;1
473;Semana 2;Monday;450;0;KS_688;1;1
474;Semana 2;Monday;175;0;KS_369;1;0
475;Semana 2;Monday;1150;25;KS_664;1;1
476;Semana 2;Monday;1150;25;KS_644;3;1
477;Semana 2;Monday;100;0;KS_546;1;1
478;Semana 2;Monday;700;0;KS_689;2;0
479;Semana 2;Monday;2400;0;KS_309;4;1
480;Semana 2;Monday;350;0;KS_369;2;0
481;Semana 2;Monday;350;0;KS_689;1;0
482;Semana 2;Monday;125;0;KS_339;1;1
483;Semana 2;Monday;100;0;KS_329;1;1
484;Semana 2;Monday;950;0;KS_549;1;0
485;Semana 2;Monday;950;0;KS_333;1;0
486;Semana 2;Monday;950;0;KS_689;1;0
487;Semana 2;Monday;125;0;KS_657;1;0
488;Semana 2;Monday;500;25;KS_583;3;1
489;Semana 2;Monday;1050;0;KS_526;1;0
490;Semana 2;Monday;1050;0;KS_336;1;1
491;Semana 2;Monday;1050;0;KS_340;1;1
492;Semana 2;Monday;1050;0;KS_458;1;0
493;Semana 2;Monday;900;0;KS_652;5;1
494;Semana 2;Monday;900;0;KS_462;1;0
495;Semana 2;Monday;525;0;KS_582;3;1
496;Semana 2;Monday;800;25;KS_337;3;1
497;Semana 2;Monday;800;25;KS_369;3;0
498;Semana 2;Monday;1100;0;KS_345;1;1
499;Semana 2;Monday;800;0;KS_537;1;0
500;Semana 2;Monday;1200;0;KS_318;2;1
501;Semana 2;Monday;500;25;KS_644;3;1
502;Semana 2;Monday;350;0;KS_336;1;1
503;Semana 2;Monday;350;0;KS_324;1;1
504;Semana 2;Monday;350;0;KS_318;1;1
505;Semana 2;Monday;500;0;KS_546;1;1
506;Semana 2;Monday;500;0;KS_336;1;1
507;Semana 2;Monday;500;0;KS_318;1;1
508;Semana 2;Tuesday;250;0;KS_378;1;0
509;Semana 2;Tuesday;1700;0;KS_494;1;0
510;Semana 2;Tuesday;1700;0;KS_536;1;0
511;Semana 2;Tuesday;350;0;KS_336;1;1
512;Semana 2;Tuesday;350;0;KS_324;2;1
513;Semana 2;Tuesday;500;0;KS_330;1;1
514;Semana 2;Tuesday;500;0;KS_490;1;0
515;Semana 2;Tuesday;1550;0;KS_318;2;1
516;Semana 2;Tuesday;1550;0;KS_330;4;1
517;Semana 2;Tuesday;325;0;KS_636;2;1
518;Semana 2;Tuesday;325;0;KS_368;1;1
519;Semana 2;Tuesday;2175;0;KS_561;1;0
520;Semana 2;Tuesday;2175;0;KS_545;2;0
521;Semana 2;Tuesday;2175;0;KS_547;2;1
522;Semana 2;Tuesday;2175;0;KS_331;1;1
523;Semana 2;Tuesday;2175;0;KS_539;1;0
524;Semana 2;Tuesday;1000;0;KS_313;1;0
525;Semana 2;Tuesday;1075;0;KS_371;1;1
526;Semana 2;Tuesday;1075;0;KS_517;1;1
527;Semana 2;Tuesday;250;0;KS_654;1;1
528;Semana 2;Tuesday;250;0;KS_338;1;1
529;Semana 2;Tuesday;1125;0;KS_324;1;1
